HxLxD,Height,Length,Depth,"""C"" for custom ""S"" for special",Panels Long,Panels Deep,"Price with 1"" wire and PC Steel Pitched Roof","Discount for 1"" wire roof instead of pitched roof","Addl. 1"" wire floor option (bolted in on larger cages - removable on smaller cages - or wire roof add on (in addition to steel roof)","Bolted on bottom only ""B"" or removable option ""R""  (bolt on wire floor keeps varmets out, can also sub for other diamenters or solid materials)",Price Per Divider to split the Length (goes front to back in the cage),Price Per Divider to split the depth (goes left to right in cage),Silver Alum Frame Upgrade,Alum/Silver Roof Upgrade,Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Black Granite Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,Printed Background on Aluminum Laminate (per panel) Bird,"Safety Catch 1"" pc wire","DOUBLE Safety Catch 1"" pc wire","Extra Door (in place of a panel - 1"" pc wire)",Pull Out Tray Price,Powder coated aluminum upgrade pull out tray,cut to size washable lenolium - fits in tray or sit on floor,bird special price,cat regular price,cat special price
12-150-48,12,150,48,c,1,1,3596,2782,888,R,155,252,100,422,122,39,155,50,506,405,110,750.00,975.00,270.00,0,3581.00,0
12-150-60,12,150,60,c,1,1,3849,3345,1165,R,156,252,100,515,122,49,155,62,506,405,115,937.50,1218.75,337.50,0,3835.00,0
12-150-72,12,150,72,c,1,1,4796,4065,1285,R,182,252,100,608,122,59,155,74,506,405,120,1125.00,1462.50,405.00,0,4782.00,0
12-150-84,12,150,84,c,1,1,5396,4367,1823,R,196,252,100,701,122,68,155,87,506,405,124,1312.50,1706.25,472.50,0,5382.00,0
12-150-90,12,150,90,c,1,1,5225,4709,1901,R,188,252,100,748,122,73,155,93,506,405,127,1406.25,1828.13,506.25,0,5211.00,0
12-150-120,12,150,120,c,1,1,7590,5451,4159,B,220,252,114,1160,122,98,155,124,506,405,139,1875.00,2437.50,675.00,0,7576.00,0
12-150-150,12,150,150,c,1,1,10464,7300,4635,B,252,252,130,1438,122,122,155,155,506,405,151,2343.75,3046.88,843.75,0,10450.00,0
12-180-12,12,180,12,c,1,1,2161,923,427,R,117,296,100,168,146,10,186,12,506,405,96,225.00,292.50,81.00,0,2147.00,0
12-180-18,12,180,18,c,1,1,2535,1267,578,R,123,296,100,222,146,15,186,19,506,405,98,337.50,438.75,121.50,0,2521.00,0
12-180-24,12,180,24,c,1,1,2909,1714,626,R,130,297,100,276,146,20,186,25,506,405,100,450.00,585.00,162.00,0,2895.00,0
12-180-30,12,180,30,c,1,1,3033,2162,673,R,126,297,100,330,146,24,186,31,506,405,103,562.50,731.25,202.50,0,3019.00,0
12-180-36,12,180,36,c,1,1,3657,2471,859,R,144,297,100,384,146,29,186,37,506,405,105,675.00,877.50,243.00,0,3642.00,0
12-180-42,12,180,42,c,1,1,4030,2909,916,R,151,298,100,438,146,34,186,43,506,405,108,787.50,1023.75,283.50,0,4016.00,0
12-180-48,12,180,48,c,1,1,4404,3192,1128,R,157,298,100,492,146,39,186,50,506,405,110,900.00,1170.00,324.00,0,4390.00,0
12-180-60,12,180,60,c,1,1,4759,4051,1259,R,158,299,100,600,146,49,186,62,506,405,115,1125.00,1462.50,405.00,0,4744.00,0
12-180-72,12,180,72,c,1,1,5899,4528,1772,R,185,300,100,708,146,59,186,74,506,405,120,1350.00,1755.00,486.00,0,5885.00,0
12-180-84,12,180,84,c,1,1,6647,5353,1937,R,198,301,102,816,146,68,186,87,506,405,124,1575.00,2047.50,567.00,0,6633.00,0
12-180-90,12,180,90,c,1,1,6484,5765,2020,R,190,301,106,870,146,73,186,93,506,405,127,1687.50,2193.75,607.50,0,6470.00,0
12-180-120,12,180,120,c,1,1,9289,6726,4434,B,222,303,122,1320,146,98,186,124,506,405,139,2250.00,2925.00,810.00,0,9275.00,0
12-180-150,12,180,150,c,1,1,12690,7358,6502,B,254,305,138,1635,146,122,186,155,506,405,151,2812.50,3656.25,1012.50,0,12676.00,0
12-180-180,12,180,180,c,1,1,16038,9382,7178,B,307,307,154,1950,146,146,186,186,506,405,163,3375.00,4387.50,1215.00,0,16024.00,0
12-210-12,12,210,12,c,1,1,2400,1094,481,R,119,330,100,196,171,10,217,12,506,405,96,262.50,341.25,94.50,0,2386.00,0
12-210-18,12,210,18,c,1,1,2833,1516,637,R,126,331,100,259,171,15,217,19,506,405,98,393.75,511.88,141.75,0,2818.00,0
12-210-24,12,210,24,c,1,1,3265,2040,690,R,133,331,100,322,171,20,217,25,506,405,100,525.00,682.50,189.00,0,3251.00,0
12-210-30,12,210,30,c,1,1,3416,2436,872,R,129,331,100,385,171,24,217,31,506,405,103,656.25,853.13,236.25,0,3402.00,0
12-210-36,12,210,36,c,1,1,4130,2952,933,R,146,332,100,448,171,29,217,37,506,405,105,787.50,1023.75,283.50,0,4115.00,0
12-210-42,12,210,42,c,1,1,4562,3320,1142,R,153,332,100,511,171,34,217,43,506,405,108,918.75,1194.38,330.75,0,4548.00,0
12-210-48,12,210,48,c,1,1,4994,3828,1212,R,160,333,100,574,171,39,217,50,506,405,110,1050.00,1365.00,378.00,0,4980.00,0
12-210-60,12,210,60,c,1,1,5411,4495,1700,R,161,333,100,700,171,49,217,62,506,405,115,1312.50,1706.25,472.50,0,5397.00,0
12-210-72,12,210,72,c,1,1,6724,5475,1875,R,187,334,104,826,171,59,217,74,506,405,120,1575.00,2047.50,567.00,0,6709.00,0
12-210-84,12,210,84,c,1,1,7588,6245,2260,R,201,335,110,952,171,68,217,87,506,405,124,1837.50,2388.75,661.50,0,7574.00,0
12-210-90,12,210,90,c,1,1,7407,6726,2356,R,193,335,114,1015,171,73,217,93,506,405,127,1968.75,2559.38,708.75,0,7392.00,0
12-210-120,12,210,120,c,1,1,10662,6920,6100,B,225,337,130,1540,171,98,217,124,506,405,139,2625.00,3412.50,945.00,0,10648.00,0
12-210-150,12,210,150,c,1,1,14589,9368,6802,B,257,339,146,1908,171,122,217,155,506,405,151,3281.25,4265.63,1181.25,0,14575.00,0
12-210-180,12,210,180,c,1,1,18458,10945,8375,B,309,341,162,2275,171,146,217,186,506,405,163,3937.50,5118.75,1417.50,0,18444.00,0
12-210-240,12,210,240,c,1,2,23978,15066,10554,B,447,351,165,3010,171,98,217,124,506,405,139,5250.00,6825.00,1890.00,0,23957.00,0
12-240-12,12,240,12,c,2,1,2793,1137,638,R,122,430,100,221,98,10,124,12,506,405,96,300.00,390.00,108.00,0,2772.00,0
12-240-18,12,240,18,c,2,1,3274,1732,696,R,129,430,100,292,98,15,124,19,506,405,98,450.00,585.00,162.00,0,3253.00,0
12-240-24,12,240,24,c,2,1,3756,2205,875,R,136,431,100,362,98,20,124,25,506,405,100,600.00,780.00,216.00,0,3734.00,0
12-240-30,12,240,30,c,2,1,3915,2792,941,R,132,431,100,433,98,24,124,31,506,405,103,750.00,975.00,270.00,0,3894.00,0
12-240-36,12,240,36,c,2,1,4718,3239,1146,R,149,431,100,503,98,29,124,37,506,405,105,900.00,1170.00,324.00,0,4696.00,0
12-240-42,12,240,42,c,2,1,5199,3816,1221,R,156,432,100,574,98,34,124,43,506,405,108,1050.00,1365.00,378.00,0,5177.00,0
12-240-48,12,240,48,c,2,1,5680,4081,1609,R,163,432,102,644,98,39,124,50,506,405,110,1200.00,1560.00,432.00,0,5658.00,0
12-240-60,12,240,60,c,2,1,6136,5201,1794,R,164,433,109,785,98,49,124,62,506,405,115,1500.00,1950.00,540.00,0,6114.00,0
12-240-72,12,240,72,c,2,1,7604,6129,2171,R,190,434,115,926,98,59,124,74,506,405,120,1800.00,2340.00,648.00,0,7583.00,0
12-240-84,12,240,84,c,2,1,8566,7022,2583,R,204,435,122,1067,98,68,124,87,506,405,124,2100.00,2730.00,756.00,0,8545.00,0
12-240-90,12,240,90,c,2,1,8356,7565,2693,R,196,435,125,1138,98,73,124,93,506,405,127,2250.00,2925.00,810.00,0,8334.00,0
12-240-120,12,240,120,c,2,1,11836,8194,6376,B,228,437,141,1700,98,98,124,124,506,405,139,3000.00,3900.00,1080.00,0,11815.00,0
12-240-150,12,240,150,c,2,1,16161,10209,7886,B,260,439,157,2105,98,122,124,155,506,405,151,3750.00,4875.00,1350.00,0,16139.00,0
12-240-180,12,240,180,c,2,1,20417,12049,9571,B,313,441,173,2510,98,146,124,186,506,405,163,4500.00,5850.00,1620.00,0,20395.00,0
12-240-210,12,240,210,c,2,1,23481,14854,10291,B,347,443,189,2915,98,171,124,217,506,405,175,5250.00,6825.00,1890.00,0,23459.00,0
12-240-240,12,240,240,c,2,2,26481,16434,12236,B,451,451,176,3320,98,98,124,124,506,405,139,6000.00,7800.00,2160.00,0,26452.00,0
12-270-12,12,270,12,c,2,1,3032,1308,692,R,125,464,100,249,110,10,140,12,506,405,96,337.50,438.75,121.50,0,3011.00,0
12-270-18,12,270,18,c,2,1,3572,1980,755,R,131,464,100,329,110,15,140,19,506,405,98,506.25,658.13,182.25,0,3550.00,0
12-270-24,12,270,24,c,2,1,4112,2532,938,R,138,465,100,408,110,20,140,25,506,405,100,675.00,877.50,243.00,0,4090.00,0
12-270-30,12,270,30,c,2,1,4298,3195,1010,R,134,465,101,488,110,24,140,31,506,405,103,843.75,1096.88,303.75,0,4276.00,0
12-270-36,12,270,36,c,2,1,5191,3720,1220,R,152,466,104,567,110,29,140,37,506,405,105,1012.50,1316.25,364.50,0,5169.00,0
12-270-42,12,270,42,c,2,1,5730,4375,1300,R,159,466,107,647,110,34,140,43,506,405,108,1181.25,1535.63,425.25,0,5709.00,0
12-270-48,12,270,48,c,2,1,6270,4717,1693,R,165,466,110,726,110,39,140,50,506,405,110,1350.00,1755.00,486.00,0,6248.00,0
12-270-60,12,270,60,c,2,1,6788,5992,1888,R,166,467,117,885,110,49,140,62,506,405,115,1687.50,2193.75,607.50,0,6767.00,0
12-270-72,12,270,72,c,2,1,8428,7075,2275,R,193,468,123,1044,110,59,140,74,506,405,120,2025.00,2632.50,729.00,0,8407.00,0
12-270-84,12,270,84,c,2,1,9507,8124,2696,R,206,469,130,1203,110,68,140,87,506,405,124,2362.50,3071.25,850.50,0,9486.00,0
12-270-90,12,270,90,c,2,1,9279,8526,3029,R,198,469,133,1283,110,73,140,93,506,405,127,2531.25,3290.63,911.25,0,9257.00,0
12-270-120,12,270,120,c,2,1,13209,9778,6652,B,230,471,149,1920,110,98,140,124,506,405,139,3375.00,4387.50,1215.00,0,13187.00,0
12-270-150,12,270,150,c,2,1,18059,11436,8969,B,262,473,165,2378,110,122,140,155,506,405,151,4218.75,5484.38,1518.75,0,18038.00,0
12-270-180,12,270,180,c,2,1,22837,13612,10768,B,315,475,181,2835,110,146,140,186,506,405,163,5062.50,6581.25,1822.50,0,22815.00,0
12-270-210,12,270,210,c,2,1,26281,16495,11860,B,349,477,197,3293,110,171,140,217,506,405,175,5906.25,7678.13,2126.25,0,26260.00,0
12-270-240,12,270,240,c,2,2,29662,18412,13918,B,453,485,184,3750,110,98,140,124,506,405,139,6750.00,8775.00,2430.00,0,29633.00,0
12-300-12,12,300,12,c,2,1,3252,1454,746,R,127,498,100,274,122,10,155,12,506,405,96,375.00,487.50,135.00,0,3230.00,0
12-300-18,12,300,18,c,2,1,3840,2196,814,R,134,499,102,361,122,15,155,19,506,405,98,562.50,731.25,202.50,0,3819.00,0
12-300-24,12,300,24,c,2,1,4429,2818,1002,R,141,499,106,448,122,20,155,25,506,405,100,750.00,975.00,270.00,0,4407.00,0
12-300-30,12,300,30,c,2,1,4636,3421,1209,R,136,500,109,535,122,24,155,31,506,405,103,937.50,1218.75,337.50,0,4614.00,0
12-300-36,12,300,36,c,2,1,5605,4146,1294,R,154,500,112,622,122,29,155,37,506,405,105,1125.00,1462.50,405.00,0,5584.00,0
12-300-42,12,300,42,c,2,1,6194,4576,1674,R,161,500,115,709,122,34,155,43,506,405,108,1312.50,1706.25,472.50,0,6172.00,0
12-300-48,12,300,48,c,2,1,6782,5284,1776,R,168,501,118,796,122,39,155,50,506,405,110,1500.00,1950.00,540.00,0,6760.00,0
